ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
yakumo,Yakumo,ainu1240,Hokkaido Ainu,ain,Eurasia,42.25,140.266667,Ainu
oshamambe,Oshamambe,ainu1240,Hokkaido Ainu,ain,Eurasia,42.508056,140.373056,Ainu
horobetsu,Horobetsu,ainu1240,Hokkaido Ainu,ain,Eurasia,42.416667,141.1,Ainu
hiratori,Hiratori,ainu1240,Hokkaido Ainu,ain,Eurasia,42.583333,142.133333,Ainu
nukkibetsu,Nukkibetsu,ainu1240,Hokkaido Ainu,ain,Eurasia,,,Ainu
niikappu,Niikappu,ainu1240,Hokkaido Ainu,ain,Eurasia,42.366667,142.316667,Ainu
samani,Samani,ainu1240,Hokkaido Ainu,ain,Eurasia,42.133333,142.933333,Ainu
obihiro,Obihiro,ainu1240,Hokkaido Ainu,ain,Eurasia,42.916667,143.2,Ainu
kushiro,Kushiro,ainu1240,Hokkaido Ainu,ain,Eurasia,42.983333,144.383333,Ainu
bihoro,Bihoro,ainu1240,Hokkaido Ainu,ain,Eurasia,43.825,144.105556,Ainu
asahikawa,Asahikawa,ainu1240,Hokkaido Ainu,ain,Eurasia,43.766667,142.366667,Ainu
nayoro,Nayoro,ainu1240,Hokkaido Ainu,ain,Eurasia,44.355833,142.463333,Ainu
soya,S̫ya,ainu1240,Hokkaido Ainu,ain,Eurasia,45.415667,141.673056,Ainu
ochiho,Ochiho,sakh1245,Sakhalin Ainu,,Eurasia,,,Ainu
tarantomari,Tarantomari,sakh1245,Sakhalin Ainu,,Eurasia,,,Ainu
maoka,Maoka,sakh1245,Sakhalin Ainu,,Eurasia,,,Ainu
shiraura,Shiraura,sakh1245,Sakhalin Ainu,,Eurasia,,,Ainu
raichishka,Raichishka,sakh1245,Sakhalin Ainu,,Eurasia,,,Ainu
nairo,Nairo,sakh1245,Sakhalin Ainu,,Eurasia,,,Ainu
